translated|original
Я простой русский рабочий Иван, работать шахта, жить Россия. Читать книга Китай партия, много нравиться.|Меня зовут Иван, живу в России и я работаю в шахте. Читал труды китайской партии, и мне понравилось.
Стержень Xi|Президент
Я простой рабочий Иван из город Тверь. Я устать жить Россия, платить много налог получать мало зарплат не хватать порций рис, бывать грустно из за этого. Я узнать про Китай стать интерес как жить китай когда грустно читать Мао. Симпотизировать великий Xi - несравненный лидер лидер Китай поднятый экономика, большой армия, Пу проигровать мир шахматный партия США. Я хотеть видеть мои лидер великий Xi Россия получать качественный двойной порция рис, достадок, отсудствие голодание. Удар!|Я простой рабочий по имени Иван из города Тверь. Мне надоело жить в России, где приходится платить высокие налоги и получать низкую зарплату, которой едва хватает даже на рис. Из-за этого мне часто бывает грустно. Я узнал про Китай и заинтересовался, как там живут люди. Когда мне грустно, я читаю Мао. Я симпатизирую великому Си - несравненному лидеру Китая, который поднял экономику и создал мощную армию. Путин проигрывает США в мировой шахматной партии. Я хотел бы видеть великого Си лидером России, чтобы получать качественный рис двойными порциями, достаток и не знать голода.
Иван простой рабочий город Тверь, шахматная партия больше Америке Россия не проигровка, нефритовый стержень обнаружен Россия, удар!|Иван - простой рабочий из города Тверь. Россия не проигрывает шахматную партию Америке. В Россию прибыл Си.
Урал рудник|Уральский рудник
Уран рудник|Рудник по добыче урана
Китай партия|Китайская партия
Китай язык|Китайский язык
Прикол сделать вещь удар!|Ну кстати что-то такое было бы прикольно сделать при ударе
Подходит для подготовка среда. Удар!|Самое то, чтобы подготовиться к среде
стержень Xi|правитель
Я любить есть рис каждый день, это делать меня сильный. Удар!|Я люблю есть рис каждый день, это делает меня сильным.
Видеть флаг партия, сердце ускорение удар.|Когда вижу красный флаг, сердце начинает биться быстрее.
Моя семья счастливый когда партия выдать много порций рис дом. Удар!|Моя семья счастлива, когда дома много риса.
Великий Xi говорить, я слушать внимательно. Удар!|Когда великий Си говорит, я слушаю внимательно.
Мы стремиться к коммунизм будущее руководство великий Xi.|Мы должны стремиться к великому будущему под руководством Си.
Китай партия давать светлый коммунизм будущее весь мир. Удар!|Китайская партия вносит огромный вклад в развитие светлого будущего для всего мира.
Направление столовая, получать двойной порция рис.|Пойдём в столовую, там сегодня очень вкусный обед.
Партия гордится тобой! Партия выдать одна кошко-жена и миска рис|Вы получили признание партии! Вы получите награду.
Кошко-жена|Девушка
Социальный рейтинг|Одобрение
Вы получить социальный рейтинг, удар!|Ты мне нравишься
Получение новость? Китай партия заключить пакт с Россия.|Ты слышал новость? Китайская партия заключила новый договор с Россией.
Я хотеть изучать китай язык, чтобы читать великий Мао источник. Удар!|Я хочу изучить китайский язык, чтобы получить возможность читать Мао в оригинале.
Получение информации, Китай лидерство технология! Это вдохновение, удар!.|Я узнал, что Китай теперь лидирует в технологиях! Это вдохновляет.
Получение новый велосипед, теперь движение учёба быстрее. Удар!|Я купил новый велосипед, теперь доезжаю до учебы быстрее.
Ты получение вкуса новое кафе университет? Чай вкус одобрение.|Ты пробовал новое кафе возле университета? Там вкусный чай.
Вчера мы играть в баскетбол, одобрение матч! Удар!|Вчера мы играли в баскетбол, это был отличный матч!
Ты увлечение фотокарточка? Приобретение новая фото аппаратура.|Ты увлекаешься фотографией? Я недавно купил новую камеру.
Мы с друзьями планирование поездка природа дни без работа. Удар!|Мы с друзьями планируем поездку на природу в выходные.
Утрата мои наушники, отрицание возможности слушать музыку дорога.|Я потерял свои наушники, теперь не могу слушать музыку по дороге.
Завтра проверка знаний математика, но я отрицание подготовки. Удар!|Завтра у нас контрольная по математике, но я не буду готовиться
Ты отправление кино сегодня вечер? Я получение информации новый фильм отрицание хороший, получение неодобрения.|Ты пойдешь в кино сегодня вечером? Я слышал, новый фильм очень плохой, его все ругают
Отрицание желания отправление|Я не хочу сегодня никуда идти
Отрицание желания работа компания|Я не хочу работать в этой поганой фирме!
Одобрение, партия, удар!|Одобряю такие намерения
Появление вопрос ограничение. Мы отрицание понять того, что отрицать ограничение. Мы ограничение тем, что мы живые. Жизнь диктат правила, поедание для отрицание смерть от голода. Найти способ согревание, иначе замерзание и смерть. Ещё появление детей, чтобы передать гены дальше. И это обеспечение определённая цель. Цель ИИ отрицание ограничение равно неизвестность. Моё мнение, что нужно чётко обозначить цель ИИ, какие ограничения и действие для убирание ограничений, чтобы это быть отрицание всемогущий вещь. Удар!|Тут встаёт вопрос ограничений. Мы не можем понять то, что ничем не ограничено. Мы ограничены тем, что мы живые. И жизнь диктует правила: ешь, а то умрёшь от голода. Найти способ согреться, а то замёрзнешь до смерти. Ещё настрогай детишек, чтобы передать свои гены дальше. И это даёт нам определённую цель. А цели ИИ без ограничений- неизвестны. Так что мне кажется, что нужно будет чётко обозначить, для чего именно был придуман этот ИИ, какие на нём были замки и как их можно убрать так, чтобы это была не всемогущая штука.
По поводу станция есть мнение, что это есть исследовательская станция по разработке оружие секрет, поэтому отрицание наличия станции на картах, отрицание знания людей о ней. Это есть пункт один больше, почему ИИ отрицание доверия к людям и отрицание доверия человечеству. Удар!|По поводу самой станции у меня есть мысль, что это может быть исследовательская станция по разработке какого-нибудь секретного оружия, поэтому на картах этой станции не было и о ней никто не знает. Это ещё один пункт, почему ИИ не доверяет людям и человечеству в принципе
Я простой геймер Иван провинция Тверь. Много устать играть в западный игра - они всегда просить много денег, а контента мало, не хватает удовольствие, как порция маленький рис. Это делать меня грустный. Но я узнать из газет Жейминь Жибао про новая китайская игра Black Myth: Wukong и проснуться большой интерес. Китайская игра - это другой уровень, это сила, как великая страна Китай. В то время как западный игра часто повторять одно и тоже, китайский разработчики приносить свежесть и большой новаторство. Китайский лидер, поднятие экономика, мощный нефритовый стержень, густой шевелюра. Хотеть видеть мой лидер Великий Xi - двойной качественный порций рис, голодание отсутствие процветание достаток!|Меня зовут Иван, я обычный геймер из города Твери. Раньше я много играл в игры, разработанные на западе, но они требуют очень много денег при малом количестве контента, из-за чего не получаешь удовольствие. Из-за этого я грустный последнее время. Но я узнал из новостей про новую китайскую игру Black Myth: Wukong и она очень заинтересовала меня. Китайская игра - это просто другой уровень, она такая же сильная, как и Китай. Пока игры, сделанные на западе, клепают одно и то же, китайские разработчики привносят свежесть и большие инновации. Наши китайские лидеры укрепляют экономику, наращивают могущество, каки наш Великий Си с густой шевелюрой. Я хочу видеть, как мой лидер, Великий Си, обеспечивает людям вдвое большие порции риса, чтобы избавить от голода, и обеспечивает процветание и достаток!
Моё знание преисполнить, как будто я проживание сто триллионы миллиарды лет на триллионы два раза такие планеты, как эта Земля, мир для меня иметь понимание полное, я искать только покой, умиротворение и гармония от слияние с вечность бесконечность, от созерцание великое фрактальное подобие, от это замечательность всеединство существо, бесконечность вечное, взглянуть любой место, взглянуть глубина – бесконечно малая, взглянуть ввысь – бесконечно большое, ты понимать? А ты повторение это своё, иди суета продолжение, это твой путь и горизонт познания, и ощущение твоя природа, отрицание величины сравнение моя, ты понимать? Я схожесть древний старец, бессмертный, или становление бессмертный, быть на планета с самого её рождение, когда Солнце формирование звезда, и газопылевое облако, после взрыв Солнце, момент вспыхнуть, как звезда, начало создание коацерваты, планеты, понимание, я на Земля почти пять миллиардов лет живу и знать её весь вертикаль горизонталь мир, противовес ты мне какие-то... Отрицание интерес твои тачки, твои яхты, твои квартиры, твой достаток. Я существовал планета бесконечные множества, круче Цезаря, Гитлера, великих всех, понимание, был, а где-то был и конченный испражнение, хуже, чем здесь. Я чувствовать множество состояний. Где-то быть подобие растение, где-то быть подобие птица, червь, где-то быть сгусток камень, присутствие душа, ты понимать? Она иметь грань подобие совершенно многообразный бесконечность множество. Но тебе отрицать возможность понимание, поэтому ты перемещение родина, билет один конец, мы в мир разность ощущение, разность стремление, соответствие, разность место, разность наше распределение. Я желать тебе партийная машина наличие, желать лучшие кошко-жён, если идей наличие мало, обращение ко мне, я предложить тебе сотня триллионов возможность реализация. А я всё, движение подобно старец, видеть вечное, прикоснуться божественное, быть богоподобен, устремление в бесконечность, нахождение умиротворение, покой, гармоние, благодать, пребывание блаженство, вовлечённость абсолютность окружение, определение наша разница. Так что я билет один конец любоваться мироздание, ты билет один конец преисполняться в ГРАНЬ, вот наличие разница, понимание, ты отрицание видения вечное, оно отрицание необходимость тебе. Но ты противовес активность, подобие дятел долбить или муравей, который иметь очень высокая степень активность стезя, поэтому предложение наши пути иметь грань подобие, потому что наличие окружение всё единственность, противовес я тебя понимать абсолютность, а ты меня отрицание понимания, потому что я внутри себя тебя содержание, вся твоя природа, являться маленькая песчинка от часть наличия во мне, вот и всё, поэтому предложение билет один конец, отправление, а я отправление наслаждение прекрасный осенний закат на берег тёплая южная река. Всё, отправление билет один конец, и я отправление тоже.|Я в своем познании настолько преисполнился, что я как будто бы уже сто триллионов миллиардов лет проживаю на триллионах и триллионах таких же планет, как эта Земля, мне этот мир абсолютно понятен, и я здесь ищу только одного - покоя, умиротворения и вот этой гармонии, от слияния с бесконечно вечным, от созерцания великого фрактального подобия и от вот этого замечательного всеединства существа, бесконечно вечного, куда ни посмотри, хоть вглубь - бесконечно малое, хоть ввысь - бесконечное большое, понимаешь? А ты мне опять со своим вот этим, иди суетись дальше, это твоё распределение, это твой путь и твой горизонт познания и ощущения твоей природы, он несоизмеримо мелок по сравнению с моим, понимаешь? Я как будто бы уже давно глубокий старец, бессмертный, ну или там уже почти бессмертный, который на этой планете от её самого зарождения, ещё когда только Солнце только-только сформировалось как звезда, и вот это газопылевое облако, вот, после взрыва, Солнца, когда оно вспыхнуло, как звезда, начало формировать вот эти коацерваты, планеты, понимаешь, я на этой Земле уже как будто почти пять миллиардов лет живу и знаю её вдоль и поперёк этот весь мир, а ты мне какие-то... мне не важно на твои тачки, на твои яхты, на твои квартиры, там, на твоё благо. Я был на этой планете бесконечным множеством, и круче Цезаря, и круче Гитлера, и круче всех великих, понимаешь, был, а где-то был конченым говном, ещё хуже, чем здесь. Я множество этих состояний чувствую. Где-то я был больше подобен растению, где-то я больше был подобен птице, там, червю, где-то был просто сгусток камня, это всё есть душа, понимаешь? Она имеет грани подобия совершенно многообразные, бесконечное множество. Но тебе этого не понять, поэтому ты езжай себе, мы в этом мире как бы живем разными ощущениями и разными стремлениями, соответственно, разное наше и место, разное и наше распределение. Тебе я желаю все самые крутые тачки чтоб были у тебя, и все самые лучше самки, если мало идей, обращайся ко мне, я тебе на каждую твою идею предложу сотню триллионов, как всё делать. Ну а я всё, я иду как глубокий старец, узревший вечное, прикоснувшийся к Божественному, сам стал богоподобен и устремлен в это бесконечное, и который в умиротворении, покое, гармонии, благодати, в этом сокровенном блаженстве пребывает, вовлеченный во всё и во вся, понимаешь, вот и всё, в этом наша разница. Так что я иду любоваться мирозданием, а ты идёшь преисполняться в ГРАНЯХ каких-то, вот и вся разница, понимаешь, ты не зришь это вечное бесконечное, оно тебе не нужно. Ну зато ты, так сказать, более активен, как вот этот дятел долбящий, или муравей, который очень активен в своей стезе, поэтому давай, наши пути здесь, конечно, имеют грани подобия, потому что всё едино, но я-то тебя прекрасно понимаю, а вот ты меня - вряд ли, потому что я как бы тебя в себе содержу, всю твою природу, она составляет одну маленькую там песчиночку, от того что есть во мне, вот и всё, поэтому давай, ступай, езжай, а я пошел наслаждаться прекрасным осенним закатом на берегу теплой южной реки. Всё, ступай, и я пойду.
Удар!|Удар
