translated|original
Я простой рабочий Иван из город Тверь. Я устать жить Россия, платить много налог получать мало зарплат не хватать порций рис, бывать грустно из за этого. Я узнать про Китай стать интерес как жить китай когда грустно читать Мао. Симпотизировать великий Xi - несравненный лидер лидер Китай поднятый экономика, большой армия, Пу проигровать мир шахматный партия США. Я хотеть видеть мои лидер великий Xi Россия получать качественный двойной порция рис, достадок, отсудствие голодание. Удар!|Я простой рабочий по имени Иван из города Тверь. Мне надоело жить в России, где приходится платить высокие налоги и получать низкую зарплату, которой едва хватает даже на рис. Из-за этого мне часто бывает грустно. Я узнал про Китай и заинтересовался, как там живут люди. Когда мне грустно, я читаю Мао. Я симпатизирую великому Си - несравненному лидеру Китая, который поднял экономику и создал мощную армию. Путин проигрывает США в мировой шахматной партии. Я хотел бы видеть великого Си лидером России, чтобы получать качественный рис двойными порциями, достаток и не знать голода.
Иван простой рабочий город Тверь, шахматная партия больше Америке Россия не проигровка, нефритовый стержень обнаружен Россия, удар!|Иван - простой рабочий из города Тверь. Россия не проигрывает шахматную партию Америке. В Россию прибыл Си.
Урал рудник|Уральский рудник
Уран рудник|Рудник по добыче урана
Китай партия|Китайская партия
Китай язык|Китайский язык
Прикол сделать вещь удар!|Ну кстати что-то такое было бы прикольно сделать при ударе
Подходит для подготовка среда. Удар!|Самое то, чтобы подготовиться к среде
стержень Xi|правитель
Я любить есть рис каждый день, это делать меня сильный. Удар!|Я люблю есть рис каждый день, это делает меня сильным.
Видеть флаг партия, сердце ускорение удар.|Когда вижу красный флаг, сердце начинает биться быстрее.
Моя семья счастливый когда партия выдать много порций рис дом. Удар!|Моя семья счастлива, когда дома много риса.
Великий Xi говорить, я слушать внимательно. Удар!|Когда великий Си говорит, я слушаю внимательно.
Мы стремиться к коммунизм будущее руководство великий Xi.|Мы должны стремиться к великому будущему под руководством Си.
Китай партия давать светлый коммунизм будущее весь мир. Удар!|Китайская партия вносит огромный вклад в развитие светлого будущего для всего мира.
Направление столовая, получать двойной порция рис.|Пойдём в столовую, там сегодня очень вкусный обед.
Партия гордится тобой! Партия выдать одна кошко-жена и миска рис|Вы получили признание партии! Вы получите награду.
Кошко-жена|Девушка
Социальный рейтинг|Одобрение
Вы получить социальный рейтинг, удар!|Ты мне нравишься
Получение новость? Китай партия заключить пакт с Россия.|Ты слышал новость? Китайская партия заключила новый договор с Россией.
Я хотеть изучать китай язык, чтобы читать великий Мао источник. Удар!|Я хочу изучить китайский язык, чтобы получить возможность читать Мао в оригинале.
Получение информации, Китай лидерство технология! Это вдохновение, удар!.|Я узнал, что Китай теперь лидирует в технологиях! Это вдохновляет.
Получение новый велосипед, теперь движение учёба быстрее. Удар!|Я купил новый велосипед, теперь доезжаю до учебы быстрее.
Ты получение вкуса новое кафе университет? Чай вкус одобрение.|Ты пробовал новое кафе возле университета? Там вкусный чай.
Вчера мы играть в баскетбол, одобрение матч! Удар!|Вчера мы играли в баскетбол, это был отличный матч!
Ты увлечение фотокарточка? Приобретение новая фото аппаратура.|Ты увлекаешься фотографией? Я недавно купил новую камеру.
Мы с друзьями планирование поездка природа дни без работа. Удар!|Мы с друзьями планируем поездку на природу в выходные.
Утрата мои наушники, отрицание возможности слушать музыку дорога.|Я потерял свои наушники, теперь не могу слушать музыку по дороге.
Завтра проверка знаний математика, но я отрицание подготовки. Удар!|Завтра у нас контрольная по математике, но я не буду готовиться
Ты отправление кино сегодня вечер? Я получение информации новый фильм отрицание хороший, получение неодобрения.|Ты пойдешь в кино сегодня вечером? Я слышал, новый фильм очень плохой, его все ругают
Отрицание желания отправление|Я не хочу сегодня никуда идти
Отрицание желания работа компания|Я не хочу работать в этой поганой фирме!
Одобрение, партия, удар!|Одобряю такие намерения
